Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed
Swansea-2012,1.053,0.316,11.368,6.316,4.526,9.526,1.263,0.0,3.936,3.711,8.368421052631579
Tottenham-2012,1.684,0.632,16.737,10.579,7.632,9.895,1.368,0.0,2.199,3.763,4.578947368421052
West Brom-2012,1.316,0.316,12.579,6.842,5.421,10.421,1.526,0.158,4.328,3.772,8.157894736842104
West Ham-2012,1.15,0.55,11.9,6.45,5.3,10.8,1.85,0.0,4.362,3.768,8.9
Wigan-2012,1.389,0.611,12.389,7.444,5.722,10.5,1.667,0.0,4.185,3.795,6.611111111111111
Arsenal-2013,1.632,0.632,13.579,5.474,5.632,8.684,1.263,0.105,2.013,4.349,4.157894736842105
Aston Villa-2013,1.105,0.895,10.474,3.421,4.105,12.579,1.842,0.0,5.445,4.012,4.578947368421052
Cardiff-2013,0.895,0.316,11.474,3.789,5.842,8.263,1.316,0.053,6.46,4.283,6.315789473684211
Chelsea-2013,1.895,0.684,19.789,6.263,7.368,10.474,1.368,0.105,1.842,4.56,3.3157894736842106
Crystal Palace-2013,1.105,0.368,10.895,4.053,5.368,11.579,1.947,0.0,5.364,3.804,4.684210526315789
Everton-2013,1.579,0.526,14.263,4.579,7.158,9.105,1.211,0.0,2.497,3.776,4.473684210526316
Fulham-2013,1.105,0.316,12.579,4.211,5.947,10.526,1.579,0.053,5.813,4.157,6.368421052631579
Hull-2013,0.842,0.421,10.842,3.526,4.0,10.737,1.263,0.158,4.228,3.572,4.578947368421052
Liverpool-2013,3.0,1.526,17.158,7.105,5.0,10.158,1.368,0.053,1.624,4.758,3.473684210526316
Man City-2013,2.526,1.105,17.684,6.053,7.632,10.0,2.263,0.053,1.564,5.535,2.9473684210526314
Man United-2013,1.684,0.474,14.526,4.789,5.632,9.947,1.421,0.105,2.102,4.144,3.6315789473684212
Newcastle-2013,0.737,0.368,15.211,4.684,5.526,10.105,1.316,0.211,4.523,3.827,4.526315789473684
Norwich-2013,0.632,0.263,11.895,4.053,5.474,11.368,1.895,0.105,5.185,3.883,4.578947368421052
Southampton-2013,1.474,0.789,14.947,4.842,5.421,10.368,1.474,0.0,2.903,3.605,3.6842105263157894
Stoke-2013,1.421,0.737,11.842,4.211,4.368,12.421,1.684,0.158,4.915,3.742,4.315789473684211
Sunderland-2013,1.368,0.684,13.632,4.0,4.895,12.737,2.316,0.105,5.761,4.215,6.315789473684211
Swansea-2013,1.579,0.737,12.947,4.105,5.579,10.0,1.105,0.105,3.693,3.669,4.2631578947368425
Tottenham-2013,1.737,0.632,13.474,4.579,5.0,11.0,1.579,0.158,2.702,3.791,4.157894736842105
West Brom-2013,1.105,0.579,12.789,4.0,4.474,11.158,1.737,0.0,4.428,3.781,4.526315789473684
West Ham-2013,1.158,0.737,9.895,3.053,5.316,9.947,1.526,0.158,5.302,3.989,5.894736842105263
Arsenal-2014,1.947,1.263,15.421,6.316,5.632,9.158,1.316,0.0,1.876,4.276,3.3684210526315788
Aston Villa-2014,1.053,0.684,11.895,3.842,5.474,10.579,1.526,0.158,4.912,3.776,4.421052631578948
Burnley-2014,0.737,0.474,11.211,3.684,4.947,11.105,1.632,0.105,5.279,3.91,4.7368421052631575
Chelsea-2014,1.684,0.947,13.421,5.053,5.579,9.842,2.105,0.105,1.663,4.423,4.0
Crystal Palace-2014,1.421,0.474,12.421,3.684,5.211,14.158,1.895,0.053,3.822,3.545,3.8947368421052633
Everton-2014,1.0,0.421,12.474,4.158,5.368,11.158,1.737,0.105,3.139,3.543,3.263157894736842
Hull-2014,0.789,0.474,12.632,4.053,5.105,12.368,1.842,0.105,4.641,3.657,3.9473684210526314
Leicester-2014,1.526,0.632,12.947,3.842,5.684,11.0,1.053,0.053,4.51,3.881,4.315789473684211
Liverpool-2014,1.368,0.632,15.632,5.211,5.053,10.474,1.684,0.105,2.154,3.825,3.736842105263158
Man City-2014,2.211,1.0,18.421,6.421,7.684,11.316,1.842,0.0,1.721,4.757,3.736842105263158
Man United-2014,1.526,0.842,13.947,4.737,5.684,12.053,1.474,0.105,2.053,3.943,3.1578947368421053
Newcastle-2014,0.947,0.474,12.158,3.684,5.684,11.211,1.421,0.211,4.435,3.771,4.947368421052632
QPR-2014,1.105,0.526,13.947,4.158,4.053,12.842,2.316,0.105,5.208,3.896,5.842105263157895
Southampton-2014,1.158,0.632,13.474,4.316,5.421,12.158,1.579,0.105,2.669,3.575,3.263157894736842
Stoke-2014,1.421,0.842,13.158,3.842,5.0,12.842,2.053,0.053,3.707,3.513,4.2105263157894735
Sunderland-2014,0.789,0.421,10.158,3.526,4.842,11.211,2.368,0.105,5.066,3.791,5.421052631578948
Swansea-2014,1.158,0.316,11.474,4.158,4.579,9.526,0.895,0.053,3.813,3.54,5.578947368421052
Tottenham-2014,1.789,0.737,14.421,4.895,5.579,10.789,2.158,0.053,2.641,3.606,4.631578947368421
West Brom-2014,1.053,0.474,9.474,3.368,3.421,10.947,1.789,0.105,4.076,3.591,5.315789473684211
West Ham-2014,0.737,0.316,11.947,3.684,5.842,10.263,1.526,0.053,4.074,3.739,4.842105263157895
nan-2014,,,,,,,,,,,
Arsenal-2015,1.684,0.947,14.526,5.263,5.842,9.789,1.158,0.105,1.883,4.368,4.052631578947368
Aston Villa-2015,0.632,0.158,9.158,2.579,4.0,10.579,1.895,0.158,6.458,4.109,5.105263157894737
Bournemouth-2015,1.211,0.526,11.842,3.316,5.263,9.105,1.211,0.053,3.137,3.455,4.105263157894737
Chelsea-2015,1.895,0.895,13.632,4.895,6.895,10.368,1.421,0.158,2.207,3.644,4.684210526315789
Crystal Palace-2015,0.842,0.211,12.0,3.579,5.684,11.737,1.579,0.0,4.145,3.616,4.947368421052632
Everton-2015,1.263,0.684,12.526,4.526,5.421,7.842,0.842,0.158,2.973,3.66,4.7894736842105265
Leicester-2015,1.632,0.789,14.211,4.579,5.947,10.421,0.842,0.158,2.664,3.585,3.210526315789474
Liverpool-2015,2.158,1.0,17.316,5.895,6.737,10.421,1.211,0.105,2.159,3.594,4.052631578947368
Man City-2015,1.789,0.789,14.842,4.526,6.105,11.158,1.316,0.0,1.817,4.17,3.0
Man United-2015,1.421,0.632,11.474,3.895,6.0,12.579,1.789,0.053,2.301,3.675,3.1052631578947367
Newcastle-2015,1.316,0.421,11.947,4.842,4.053,11.316,1.211,0.105,4.408,3.8,3.6315789473684212
Norwich-2015,0.895,0.316,10.579,2.947,4.789,10.842,1.579,0.053,4.291,3.643,4.368421052631579
Southampton-2015,1.737,0.789,12.579,4.105,5.947,11.579,1.211,0.211,2.606,3.549,3.736842105263158
Stoke-2015,1.105,0.263,11.0,3.368,4.474,11.842,1.211,0.053,3.88,3.552,4.421052631578948
Sunderland-2015,1.526,0.632,12.368,4.158,4.474,9.947,1.368,0.0,4.246,3.645,5.315789473684211
Swansea-2015,1.368,0.789,11.474,3.474,4.737,10.842,1.632,0.053,4.327,3.663,4.947368421052632
Tottenham-2015,1.895,0.632,19.632,6.789,7.632,10.789,1.632,0.0,2.009,3.858,3.1052631578947367
Watford-2015,0.842,0.263,11.316,3.474,4.474,12.263,2.0,0.053,4.2,3.632,5.368421052631579
West Brom-2015,0.842,0.474,10.947,2.579,4.895,10.421,1.263,0.0,5.214,3.762,3.9473684210526314
West Ham-2015,1.947,0.789,15.895,5.263,5.895,10.158,1.684,0.053,3.213,3.61,4.157894736842105
Arsenal-2016,1.895,0.421,14.474,5.421,6.632,10.789,1.947,0.105,1.999,4.77,5.2105263157894735
Bournemouth-2016,1.526,0.684,11.947,4.421,3.842,9.0,1.211,0.105,4.68,4.024,5.105263157894737
Burnley-2016,0.947,0.263,11.158,3.263,3.842,11.316,1.632,0.105,5.981,4.092,4.947368421052632
Chelsea-2016,2.263,1.053,15.053,5.105,6.316,10.526,1.579,0.0,1.716,4.882,2.9473684210526314
Crystal Palace-2016,1.105,0.421,10.684,3.105,5.158,11.895,1.789,0.0,4.096,3.819,4.315789473684211
Everton-2016,1.947,0.737,13.421,5.368,5.053,11.947,1.684,0.053,3.035,3.892,4.2105263157894735
Hull-2016,1.105,0.368,10.737,3.211,5.211,10.842,1.947,0.158,6.32,4.405,5.2105263157894735
Leicester-2016,1.263,0.684,11.684,4.158,5.316,11.211,1.526,0.0,4.04,3.819,5.157894736842105
Liverpool-2016,1.684,0.789,16.158,6.316,6.737,10.421,1.421,0.0,1.873,4.53,2.9473684210526314
Man City-2016,2.158,1.0,16.842,5.789,7.421,10.105,1.842,0.053,1.594,5.336,2.5789473684210527
Man United-2016,1.316,0.632,13.737,5.053,4.947,13.158,1.737,0.053,2.157,4.328,2.8421052631578947
Middlesbrough-2016,0.526,0.316,9.316,2.684,3.421,13.0,1.895,0.053,6.47,4.134,5.105263157894737
Southampton-2016,1.158,0.579,14.158,4.632,5.316,11.105,1.368,0.0,3.028,3.629,3.9473684210526314
Stoke-2016,1.0,0.632,11.158,3.579,4.895,12.842,1.842,0.053,4.162,3.723,4.526315789473684
Sunderland-2016,0.632,0.421,10.579,3.474,4.684,11.947,1.947,0.053,7.659,4.7,7.0
Swansea-2016,1.263,0.579,9.632,3.421,5.316,9.263,1.474,0.0,5.152,4.102,4.526315789473684
Tottenham-2016,2.579,1.105,16.579,7.105,7.368,9.789,1.421,0.0,1.815,4.398,2.9473684210526314
Watford-2016,0.895,0.526,11.421,3.842,4.684,12.842,2.0,0.105,6.184,4.259,5.368421052631579
West Brom-2016,0.947,0.474,10.842,3.368,4.421,11.474,1.895,0.0,5.221,3.973,4.0
West Ham-2016,1.263,0.526,11.895,3.737,4.053,9.895,1.895,0.158,4.004,3.709,4.157894736842105
Arsenal-2017,2.105,0.947,13.526,6.0,5.316,9.211,1.579,0.105,2.265,4.22,4.421052631578948
Bournemouth-2017,1.579,0.474,14.579,5.0,6.316,9.421,1.263,0.0,4.23,3.843,4.684210526315789
Brighton-2017,1.0,0.579,11.316,3.474,4.211,11.263,1.474,0.105,6.189,4.092,5.157894736842105
Burnley-2017,1.053,0.316,10.105,3.421,4.211,9.263,1.842,0.0,4.761,3.606,4.2631578947368425
Chelsea-2017,1.579,0.737,16.263,5.842,5.947,8.947,1.053,0.053,1.923,4.77,3.6842105263157894
