Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed,points,wins,draws,losses
Fulham-2011,1.263,0.526,12.868,7.921,4.947,9.211,1.421,0.0,3.786,3.586,8.052631578947368,52.0,14.0,10.0,14.0
Liverpool-2011,1.237,0.579,16.105,8.684,8.105,9.632,1.474,0.132,2.067,3.769,5.2368421052631575,52.0,14.0,10.0,14.0
Man City-2011,2.447,0.789,17.526,10.5,7.079,10.105,1.474,0.132,1.648,4.623,5.368421052631579,89.0,28.0,5.0,5.0
Man United-2011,2.342,1.053,15.579,9.711,7.342,9.658,1.342,0.026,1.597,4.681,6.921052631578948,89.0,28.0,5.0,5.0
Newcastle-2011,1.474,0.737,11.868,6.711,4.526,10.184,1.763,0.053,3.468,3.577,7.263157894736842,65.0,19.0,8.0,11.0
Norwich-2011,1.368,0.632,12.474,6.684,4.395,10.105,1.553,0.079,5.064,3.866,8.552631578947368,47.0,12.0,11.0,15.0
QPR-2011,1.132,0.5,13.0,6.947,5.132,10.237,1.5,0.237,5.034,3.85,8.552631578947368,37.0,10.0,7.0,21.0
Stoke-2011,0.947,0.368,8.947,3.974,4.342,11.132,1.605,0.053,4.025,3.591,7.736842105263157,45.0,11.0,12.0,15.0
Sunderland-2011,1.184,0.526,10.974,6.132,4.711,10.237,1.579,0.079,4.048,3.629,7.947368421052632,45.0,11.0,12.0,15.0
Swansea-2011,1.158,0.553,11.053,6.342,5.368,8.132,1.053,0.053,4.717,3.723,7.868421052631579,47.0,12.0,11.0,15.0
Tottenham-2011,1.737,0.789,16.711,9.816,7.447,8.947,1.184,0.079,2.133,3.869,6.631578947368421,69.0,20.0,9.0,9.0
West Brom-2011,1.184,0.526,12.368,6.947,5.579,10.132,1.263,0.026,4.233,3.653,7.394736842105263,47.0,13.0,8.0,17.0
Wigan-2011,1.105,0.526,12.0,6.789,5.5,11.763,1.789,0.079,5.688,3.919,7.315789473684211,43.0,11.0,10.0,17.0
Wolves-2011,1.053,0.447,10.816,6.026,5.421,9.079,1.684,0.105,5.624,3.97,10.026315789473683,25.0,5.0,10.0,23.0
Arsenal-2012,1.895,0.737,14.368,8.579,6.842,9.474,1.158,0.132,2.041,4.056,5.2105263157894735,73.0,21.0,10.0,7.0
Aston Villa-2012,1.237,0.579,10.342,5.921,4.684,11.263,1.947,0.079,4.673,3.798,7.7894736842105265,41.0,10.0,11.0,17.0
Chelsea-2012,1.974,1.026,14.974,8.842,6.316,9.763,1.368,0.079,1.913,4.111,6.868421052631579,75.0,22.0,9.0,7.0
Everton-2012,1.447,0.842,14.763,8.447,6.763,10.868,1.579,0.079,2.517,3.709,6.2631578947368425,63.0,16.0,15.0,7.0
Fulham-2012,1.316,0.605,11.184,6.421,4.632,10.105,1.263,0.079,3.862,3.669,8.631578947368421,43.0,11.0,10.0,17.0
Liverpool-2012,1.868,0.789,17.605,10.132,7.5,9.789,1.421,0.053,2.091,3.896,5.7105263157894735,61.0,16.0,13.0,9.0
Man City-2012,1.737,0.684,15.816,9.263,7.079,11.658,1.658,0.079,1.677,4.512,4.973684210526316,78.0,23.0,9.0,6.0
Man United-2012,2.263,1.184,13.474,7.868,5.737,9.5,1.5,0.026,1.699,4.57,6.7368421052631575,89.0,28.0,5.0,5.0
Newcastle-2012,1.184,0.526,12.395,6.632,5.342,11.5,1.895,0.105,3.699,3.668,6.578947368421052,41.0,11.0,8.0,19.0
Norwich-2012,1.079,0.474,9.789,5.342,4.553,10.289,1.579,0.026,4.787,3.83,6.842105263157895,44.0,10.0,14.0,14.0
QPR-2012,0.789,0.316,12.237,6.447,4.474,10.105,1.553,0.079,4.931,3.911,8.578947368421053,25.0,4.0,13.0,21.0
Reading-2012,1.132,0.395,9.237,4.711,4.974,9.447,1.184,0.026,5.541,4.039,9.36842105263158,28.0,6.0,10.0,22.0
Southampton-2012,1.289,0.605,12.447,6.684,5.5,10.053,1.132,0.053,4.577,3.856,5.921052631578948,41.0,9.0,14.0,15.0
Stoke-2012,0.895,0.395,8.895,4.342,4.289,11.658,2.105,0.105,4.138,3.55,7.0,42.0,9.0,15.0,14.0
Sunderland-2012,1.079,0.579,9.947,5.816,4.711,11.237,1.632,0.079,4.596,3.694,8.342105263157896,39.0,9.0,12.0,17.0
Swansea-2012,1.237,0.368,12.105,6.895,5.105,10.184,1.526,0.053,3.937,3.682,8.473684210526315,46.0,11.0,13.0,14.0
Tottenham-2012,1.737,0.579,16.237,10.026,6.868,9.0,1.395,0.053,2.347,3.783,4.921052631578948,72.0,21.0,9.0,8.0
West Brom-2012,1.395,0.474,12.105,6.658,5.316,10.737,1.632,0.105,3.825,3.644,7.7105263157894735,49.0,14.0,7.0,17.0
West Ham-2012,1.184,0.579,11.553,6.579,5.605,11.711,1.947,0.026,4.091,3.675,9.052631578947368,46.0,12.0,10.0,16.0
Wigan-2012,1.237,0.474,11.895,6.763,5.237,10.947,1.737,0.053,4.336,3.747,7.394736842105263,36.0,9.0,9.0,20.0
Arsenal-2013,1.789,0.658,13.789,5.526,5.553,9.158,1.395,0.105,1.991,4.213,4.078947368421052,79.0,24.0,7.0,7.0
Aston Villa-2013,1.026,0.579,11.316,3.526,4.289,12.737,2.053,0.0,4.728,3.813,4.447368421052632,38.0,10.0,8.0,20.0
Cardiff-2013,0.842,0.263,11.026,3.316,5.158,9.0,1.289,0.026,5.692,4.023,6.105263157894737,,,,
Chelsea-2013,1.868,0.789,18.237,6.0,6.553,11.053,1.474,0.079,1.815,4.518,3.263157894736842,82.0,25.0,7.0,6.0
Crystal Palace-2013,0.868,0.342,10.895,3.763,4.526,10.632,1.5,0.053,6.317,4.082,4.421052631578948,45.0,13.0,6.0,19.0
Everton-2013,1.605,0.526,14.737,5.132,6.605,9.605,1.421,0.026,2.526,3.751,4.026315789473684,72.0,21.0,9.0,8.0
Fulham-2013,1.053,0.342,11.342,3.921,5.105,10.079,1.5,0.026,5.463,3.987,6.368421052631579,,,,
Hull-2013,1.0,0.5,11.184,3.395,4.211,11.079,1.395,0.105,5.129,3.83,4.2368421052631575,37.0,10.0,7.0,21.0
Liverpool-2013,2.658,1.553,17.105,6.816,5.895,10.789,1.421,0.026,1.837,4.552,3.947368421052632,84.0,26.0,6.0,6.0
Man City-2013,2.684,1.211,17.711,6.263,7.447,10.368,1.895,0.026,1.589,5.122,3.210526315789474,86.0,27.0,5.0,6.0
Man United-2013,1.684,0.711,13.816,4.763,5.684,10.5,1.737,0.079,1.972,4.121,3.842105263157895,64.0,19.0,7.0,12.0
Newcastle-2013,1.132,0.553,15.237,4.842,5.0,10.842,1.368,0.158,4.152,3.747,4.447368421052632,49.0,15.0,4.0,19.0
Norwich-2013,0.737,0.263,12.211,3.842,5.184,11.158,1.632,0.053,5.196,3.906,5.052631578947368,,,,
Southampton-2013,1.421,0.737,13.974,4.658,5.553,11.658,1.579,0.0,3.099,3.625,3.421052631578948,56.0,15.0,11.0,12.0
Stoke-2013,1.184,0.605,11.184,3.658,4.316,12.763,1.895,0.132,4.801,3.712,4.7105263157894735,50.0,13.0,11.0,14.0
Sunderland-2013,1.079,0.526,12.895,3.605,4.947,11.684,1.789,0.184,5.196,3.933,5.605263157894737,38.0,10.0,8.0,20.0
Swansea-2013,1.421,0.526,13.0,4.289,5.868,9.816,1.447,0.079,3.652,3.66,4.026315789473684,42.0,11.0,9.0,18.0
Tottenham-2013,1.447,0.526,15.368,4.974,6.053,10.605,1.737,0.105,2.458,3.776,4.131578947368421,69.0,21.0,6.0,11.0
West Brom-2013,1.132,0.5,12.763,3.816,4.921,11.211,1.763,0.0,4.418,3.808,4.473684210526316,36.0,7.0,15.0,16.0
West Ham-2013,1.053,0.474,11.0,3.132,4.842,10.579,1.605,0.132,4.803,3.852,5.421052631578948,40.0,11.0,7.0,20.0
Arsenal-2014,1.868,0.947,16.105,6.0,6.684,9.921,1.789,0.053,1.977,4.138,3.421052631578948,75.0,22.0,9.0,7.0
Aston Villa-2014,0.816,0.579,10.895,3.342,4.5,10.526,1.842,0.184,4.958,3.758,4.473684210526316,38.0,10.0,8.0,20.0
Burnley-2014,0.737,0.421,11.289,3.289,4.474,10.684,1.684,0.053,5.413,3.905,4.921052631578948,33.0,7.0,12.0,19.0
Chelsea-2014,1.921,0.974,14.816,5.526,5.947,10.053,2.026,0.105,1.646,4.617,3.263157894736842,87.0,26.0,9.0,3.0
Crystal Palace-2014,1.237,0.447,11.526,3.658,5.5,13.868,1.658,0.105,4.495,3.708,3.973684210526316,48.0,13.0,9.0,16.0
Everton-2014,1.263,0.632,12.737,4.368,5.105,10.211,1.737,0.053,2.899,3.616,3.3684210526315788,47.0,12.0,11.0,15.0
Hull-2014,0.868,0.421,11.289,3.447,4.447,11.868,1.868,0.158,4.809,3.732,4.131578947368421,35.0,8.0,11.0,19.0
Leicester-2014,1.211,0.553,12.026,3.605,5.553,12.026,1.289,0.105,4.477,3.8,4.552631578947368,41.0,11.0,8.0,19.0
Liverpool-2014,1.368,0.553,15.526,5.105,5.211,10.132,1.737,0.079,2.159,3.879,3.763157894736842,62.0,18.0,8.0,12.0
Man City-2014,2.184,0.974,17.579,6.0,7.184,11.711,2.026,0.053,1.685,4.615,3.3947368421052637,79.0,24.0,7.0,7.0
Man United-2014,1.632,0.868,13.395,4.711,5.605,11.921,1.684,0.132,1.988,4.076,3.684210526315789,70.0,20.0,10.0,8.0
Newcastle-2014,1.053,0.342,12.289,3.763,5.842,11.395,1.737,0.184,4.17,3.698,4.289473684210527,39.0,10.0,9.0,19.0
QPR-2014,1.105,0.447,14.026,3.974,4.711,11.763,1.974,0.079,5.475,3.964,5.684210526315789,30.0,8.0,6.0,24.0
Southampton-2014,1.421,0.632,13.316,4.474,5.5,12.316,1.5,0.079,2.748,3.623,3.0,60.0,18.0,6.0,14.0
Stoke-2014,1.263,0.789,13.184,3.579,5.053,12.789,2.158,0.026,4.017,3.594,3.763157894736842,54.0,15.0,9.0,14.0
Sunderland-2014,0.816,0.447,10.632,3.395,4.868,11.447,2.474,0.053,4.629,3.664,5.184210526315789,38.0,7.0,17.0,14.0
Swansea-2014,1.211,0.5,11.105,3.868,3.974,10.474,1.263,0.132,3.787,3.636,5.052631578947368,56.0,16.0,8.0,14.0
Tottenham-2014,1.526,0.711,13.789,4.526,5.895,11.605,2.079,0.105,2.725,3.671,4.526315789473684,64.0,19.0,7.0,12.0
West Brom-2014,1.0,0.421,10.816,3.421,4.5,11.132,1.684,0.079,4.22,3.647,4.894736842105263,44.0,11.0,11.0,16.0
West Ham-2014,1.158,0.5,12.763,4.0,6.342,11.053,1.684,0.053,3.877,3.692,4.7105263157894735,47.0,12.0,11.0,15.0
nan-2014,,,,,,,,,,,,,,,
Arsenal-2015,1.711,0.921,15.053,5.526,5.974,9.211,1.026,0.105,1.81,4.27,4.0,71.0,20.0,11.0,7.0
Aston Villa-2015,0.711,0.211,9.947,2.921,4.395,11.342,1.974,0.079,5.66,3.926,5.026315789473684,17.0,3.0,8.0,27.0
Bournemouth-2015,1.184,0.553,12.184,3.789,5.816,9.526,1.368,0.026,3.646,3.601,4.052631578947368,42.0,11.0,9.0,18.0
Chelsea-2015,1.553,0.763,13.842,4.553,6.316,10.737,1.526,0.158,2.079,3.822,4.7105263157894735,50.0,12.0,14.0,12.0
Crystal Palace-2015,1.026,0.342,12.263,4.0,5.763,12.237,1.579,0.026,3.807,3.593,4.526315789473684,42.0,11.0,9.0,18.0
Everton-2015,1.553,0.789,12.947,4.605,5.737,8.289,1.158,0.132,2.99,3.619,4.868421052631579,47.0,11.0,14.0,13.0
Leicester-2015,1.789,0.737,13.763,4.763,5.184,10.658,1.263,0.079,2.857,3.535,3.763157894736842,81.0,23.0,12.0,3.0
Liverpool-2015,1.658,0.737,16.553,5.342,6.974,11.105,1.605,0.079,2.296,3.715,3.5,60.0,16.0,12.0,10.0
Man City-2015,1.868,0.842,16.105,5.526,6.763,10.763,1.605,0.0,1.75,4.42,3.289473684210526,66.0,19.0,9.0,10.0
Man United-2015,1.289,0.553,11.316,3.763,6.0,12.421,1.711,0.026,2.184,3.75,3.236842105263158,66.0,19.0,9.0,10.0
Newcastle-2015,1.158,0.447,10.474,4.0,4.158,10.895,1.526,0.132,4.533,3.811,4.684210526315789,37.0,9.0,10.0,19.0
Norwich-2015,1.026,0.421,10.947,3.316,4.947,10.974,1.605,0.079,4.301,3.686,4.526315789473684,34.0,9.0,7.0,22.0
Southampton-2015,1.553,0.684,13.658,4.447,5.895,10.947,1.5,0.158,2.647,3.539,3.684210526315789,63.0,18.0,9.0,11.0
Stoke-2015,1.079,0.447,11.0,3.421,4.026,11.026,1.342,0.105,3.827,3.521,4.657894736842105,51.0,14.0,9.0,15.0
Sunderland-2015,1.263,0.474,11.553,3.763,4.211,10.421,1.632,0.053,5.132,3.842,5.7368421052631575,39.0,9.0,12.0,17.0
Swansea-2015,1.105,0.605,11.632,3.579,4.289,10.316,1.632,0.026,4.049,3.626,4.447368421052632,47.0,12.0,11.0,15.0
Tottenham-2015,1.816,0.816,17.395,6.579,6.684,11.895,1.895,0.0,2.256,3.783,3.1842105263157894,70.0,19.0,13.0,6.0
Watford-2015,1.053,0.474,11.711,3.579,4.368,12.105,1.947,0.079,4.181,3.631,4.578947368421052,45.0,12.0,9.0,17.0
West Brom-2015,0.895,0.474,10.105,2.789,4.947,10.316,1.658,0.079,4.844,3.658,4.2105263157894735,43.0,10.0,13.0,15.0
West Ham-2015,1.711,0.737,14.632,4.842,5.895,10.026,1.474,0.132,3.85,3.702,4.421052631578948,62.0,16.0,14.0,8.0
Arsenal-2016,2.026,0.711,14.868,5.263,5.974,10.447,1.763,0.079,1.917,4.573,4.394736842105263,75.0,23.0,6.0,9.0
Bournemouth-2016,1.447,0.711,11.737,4.211,5.026,9.632,1.342,0.079,4.402,3.88,4.973684210526316,46.0,12.0,10.0,16.0
Burnley-2016,1.026,0.421,10.263,3.158,3.921,11.211,1.711,0.053,6.358,4.158,5.552631578947368,40.0,11.0,7.0,20.0
Chelsea-2016,2.237,0.974,15.263,5.368,5.737,10.368,1.895,0.0,1.771,4.573,2.763157894736842,93.0,30.0,3.0,5.0
Crystal Palace-2016,1.316,0.447,11.526,3.632,5.316,12.342,2.026,0.0,4.091,3.744,4.657894736842105,41.0,12.0,5.0,21.0
Everton-2016,1.632,0.605,13.105,5.053,5.158,12.079,1.868,0.053,3.0,3.77,3.8947368421052633,61.0,17.0,10.0,11.0
Hull-2016,0.974,0.289,10.421,3.342,4.711,10.605,1.763,0.132,6.153,4.209,5.657894736842105,34.0,9.0,7.0,22.0
Leicester-2016,1.263,0.605,11.368,3.816,5.184,11.868,1.868,0.026,3.578,3.715,5.026315789473684,44.0,12.0,8.0,18.0
Liverpool-2016,2.053,1.026,16.789,6.211,6.553,10.447,1.421,0.0,1.867,4.537,3.0,76.0,22.0,10.0,6.0
Man City-2016,2.105,0.947,16.658,5.711,7.368,10.395,1.868,0.105,1.66,5.043,2.789473684210526,78.0,23.0,9.0,6.0
Man United-2016,1.421,0.737,15.5,5.526,5.711,13.079,2.0,0.053,2.03,4.277,3.0,69.0,18.0,15.0,5.0
Middlesbrough-2016,0.711,0.395,9.184,2.632,3.711,12.579,2.0,0.026,5.87,4.008,4.526315789473684,28.0,5.0,13.0,20.0
Southampton-2016,1.079,0.5,14.421,4.711,5.263,11.158,1.526,0.053,3.028,3.642,3.3684210526315788,46.0,12.0,10.0,16.0
Stoke-2016,1.079,0.605,11.211,3.605,4.947,11.421,1.842,0.053,4.44,3.807,4.7631578947368425,44.0,11.0,11.0,16.0
Sunderland-2016,0.763,0.289,10.184,3.184,4.211,11.5,2.0,0.105,6.982,4.471,6.526315789473684,24.0,6.0,6.0,26.0
Swansea-2016,1.184,0.447,10.263,3.842,5.158,10.553,1.474,0.0,5.045,4.007,4.868421052631579,41.0,12.0,5.0,21.0
Tottenham-2016,2.263,0.947,17.605,6.763,7.184,11.368,1.632,0.0,2.017,4.266,2.921052631578948,86.0,26.0,8.0,4.0
Watford-2016,1.053,0.447,11.026,3.789,4.316,13.605,2.184,0.132,5.325,3.991,4.973684210526316,40.0,11.0,7.0,20.0
West Brom-2016,1.132,0.553,10.526,3.237,4.158,11.816,2.105,0.0,5.1,3.876,4.2631578947368425,45.0,12.0,9.0,17.0
West Ham-2016,1.237,0.5,13.053,3.632,4.526,10.737,2.026,0.132,4.077,3.821,4.7631578947368425,45.0,12.0,9.0,17.0
Arsenal-2017,1.947,0.789,15.605,6.158,5.921,10.079,1.5,0.053,2.237,4.415,3.9210526315789473,63.0,19.0,6.0,13.0
Bournemouth-2017,1.184,0.447,12.289,4.158,5.737,8.921,1.447,0.026,5.162,4.141,4.657894736842105,44.0,11.0,11.0,16.0
Brighton-2017,0.895,0.421,10.079,3.105,4.289,10.868,1.421,0.053,5.931,3.991,4.7631578947368425,40.0,9.0,13.0,16.0
Burnley-2017,0.947,0.421,9.974,3.342,4.395,9.211,1.711,0.0,5.538,3.897,4.315789473684211,54.0,14.0,12.0,12.0
Chelsea-2017,1.632,0.789,15.947,5.789,6.053,9.553,1.079,0.105,1.873,4.613,3.1578947368421053,70.0,21.0,7.0,10.0
Crystal Palace-2017,1.184,0.474,12.5,3.974,5.5,11.184,1.868,0.0,4.97,3.987,4.631578947368421,44.0,11.0,11.0,16.0
Everton-2017,1.158,0.395,9.474,3.211,3.947,12.079,1.342,0.079,4.277,3.718,4.815789473684211,49.0,13.0,10.0,15.0
Huddersfield-2017,0.737,0.395,9.474,2.921,4.342,10.421,1.605,0.079,7.041,4.341,4.342105263157895,37.0,9.0,10.0,19.0
Leicester-2017,1.474,0.684,11.105,3.895,5.342,9.605,1.368,0.132,4.024,3.874,4.421052631578948,47.0,12.0,11.0,15.0
Liverpool-2017,2.211,0.921,16.842,6.132,6.053,9.053,1.158,0.026,1.797,4.866,2.710526315789474,75.0,21.0,12.0,5.0
